id,monster,scenario,slot,role,text,weight,tags
ash.burst.swarm.01,ashmother,burst,gear,core,"Размах исчезает: крылья обтягивают корпус.",10,core
ash.burst.swarm.02,ashmother,burst,gear,core,"Горло раздувается — кожа натягивается и блестит.",10,core
ash.burst.swarm.03,ashmother,burst,gear,core,"Он пробует клешню на сжатие, будто проверяет хват.",10,core
ash.burst.hum.01,ashmother,burst,sound,core,"Короткий сип, и снова тихо.",10,core
ash.burst.hum.02,ashmother,burst,sound,core,"Ракушки на его шкуре дребезжат, как сухая трава на ветру.",10,core
ash.burst.hum.03,ashmother,burst,sound,core,"Он шипит — коротко и зло, на выдохе.",10,core
ash.bite.sting.01,ashmother,bite,gear,core,"Он подбирает крылья — плотно, как перед броском камня.",10,core
ash.bite.sting.02,ashmother,bite,gear,core,"Размах исчезает: крылья обтягивают корпус.",10,core
ash.bite.sting.03,ashmother,bite,gear,core,"Горло раздувается — кожа натягивается и блестит.",10,core
ash.bite.scream.01,ashmother,bite,sound,core,"Он скрежещет чешуёй, будто проводит по ней камнем.",10,core
ash.bite.scream.02,ashmother,bite,sound,core,"Сухой скрежет идёт вдоль всего тела.",10,core
ash.bite.scream.03,ashmother,bite,sound,core,"Когти скребут камень с нарастающим визгом.",10,core
ash.eggs.pose.01,ashmother,eggs,pose,core,"Голова прижата, шея вытянута по линии разгона.",10,core
ash.eggs.pose.02,ashmother,eggs,pose,core,"Он пригибается и роет когтями камень под собой.",10,core
ash.eggs.pose.03,ashmother,eggs,pose,core,"Он оседает на лапах, будто устал стоять.",10,core
ash.eggs.sound.01,ashmother,eggs,sound,core,"Нарастающий вой заполняет всё вокруг.",10,core
ash.eggs.sound.02,ashmother,eggs,sound,core,"Звук идёт по камню и отдаётся в зубах.",10,core
ash.eggs.sound.03,ashmother,eggs,sound,core,"Он сипит без нажима — воздух выходит сам.",10,core
ash.decoy.burst.gaze.01,ashmother,burst,gaze,decoy,"Он приседает на лапах и застывает в полуприседе.",10,decoy
ash.decoy.burst.gaze.02,ashmother,burst,gaze,decoy,"Корпус проседает — но всего на миг.",10,decoy
