id,monster,scenario,slot,role,text,weight,tags
lament.devour.dark.01,lament,devour,gear,core,"Горло раздувается — кожа натягивается и блестит.",10,core
lament.devour.dark.02,lament,devour,gear,core,"Он пробует клешню на сжатие, будто проверяет хват.",10,core
lament.devour.dark.03,lament,devour,gear,core,"Он подбирает крылья — плотно, как перед броском камня.",10,core
lament.devour.light.01,lament,devour,environment,core,"Вода у берега идёт кругами и не успокаивается.",10,core
lament.devour.light.02,lament,devour,environment,core,"Краски стекают с предметов и пропадают.",10,core
lament.devour.light.03,lament,devour,environment,core,"Костяной вихрь поднимается вокруг и закручивается.",10,core
lament.cascade.spikes.01,lament,cascade,gear,core,"Крылья складываются вдоль тела и прижимаются к бокам.",10,core
lament.cascade.spikes.02,lament,cascade,gear,core,"Он набирает воздух, и шея становится вдвое толще.",10,core
lament.cascade.spikes.03,lament,cascade,gear,core,"Зоб раздувается изнутри, как мех.",10,core
lament.cascade.ring.01,lament,cascade,sound,core,"Он дерёт камень и разгоняется на этом звуке.",10,core
lament.cascade.ring.02,lament,cascade,sound,core,"Вой начинается низко и идёт вверх, не прерываясь.",10,core
lament.cascade.ring.03,lament,cascade,sound,core,"Слабое сипение, не похожее на угрозу.",10,core
lament.silence.room.01,lament,silence,gaze,core,"Шорох перьев — глухой, без скрежета.",10,core
lament.silence.room.02,lament,silence,gaze,core,"Перья шелестят на ветру, и только.",10,core
lament.silence.room.03,lament,silence,gaze,core,"Мягкий шорох, который ничем не кончается.",10,core
lament.silence.pose.01,lament,silence,gear,core,"Он отплёвывается и переводит дыхание, опустив клешню.",10,core
lament.silence.pose.02,lament,silence,gear,core,"Кожаный воротник раскрывается, обнажая жало.",10,core
lament.silence.pose.03,lament,silence,gear,core,"Капюшон поднимается медленно — зверь примеряется к броску.",10,core
lament.call.gear.01,lament,call,gear,core,"Капюшон вздымается над головой — кожа натягивается до звона.",10,core
lament.call.gear.02,lament,call,gear,core,"Шипун разворачивает капюшон, и чешуя встаёт дыбом.",10,core
lament.call.gear.03,lament,call,gear,core,"Кольцо тела сужается — виток за витком, без спешки.",10,core
lament.call.rustle.01,lament,call,pose,core,"Он сокращает дистанцию медленно, по сантиметру.",10,core
lament.call.rustle.02,lament,call,pose,core,"Он поворачивает голову к цели — и замирает на долю секунды.",10,core
lament.call.rustle.03,lament,call,pose,core,"Голова разворачивается в твою сторону, взгляд цепляется за тебя.",10,core
lament.variable.signals.01,lament,variable,gear,core,"Горло разгорается изнутри — сквозь кожу пробивается красное.",10,core
lament.variable.signals.02,lament,variable,gear,core,"Под челюстью светится, как в горне.",10,core
lament.variable.signals.03,lament,variable,gear,core,"Глотка наливается жаром и начинает светиться.",10,core
lament.variable.reality.01,lament,variable,environment,core,"Костяной вихрь поднимается вокруг и закручивается.",10,core
lament.variable.reality.02,lament,variable,environment,core,"Пыль и костяная крошка идут по кругу.",10,core
lament.variable.reality.03,lament,variable,environment,core,"Ветер бьёт по камню и взвизгивает под крыльями.",10,core
lament.decoy.cascade.gaze.01,lament,cascade,gaze,decoy,"Корпус проседает — но всего на миг.",10,decoy
lament.decoy.cascade.gaze.02,lament,cascade,gaze,decoy,"Она смотрит сквозь рой, не различая тебя.",10,decoy
lament.decoy.cascade.gaze.03,lament,cascade,gaze,decoy,"Мутный глаз зверя не двигается — он смотрит в пустоту.",10,decoy
lament.decoy.silence.pose.01,lament,silence,pose,decoy,"Он подаётся вперёд и прижимается к камню.",10,decoy
lament.decoy.silence.pose.02,lament,silence,pose,decoy,"Присед идёт на передние лапы, задние поджаты.",10,decoy
lament.decoy.silence.pose.03,lament,silence,pose,decoy,"Корпус опускается — ровно, как перед падением.",10,decoy
lament.decoy.variable.gaze.01,lament,variable,gaze,decoy,"Мягкий шорох, который ничем не кончается.",10,decoy
lament.decoy.variable.gaze.02,lament,variable,gaze,decoy,"Он закрывает глаза и держит паузу.",10,decoy
