id,monster,scenario,slot,role,text,weight,tags
skorb.volley.ribs.01,skorb,volley,gear,core,"Размах исчезает: крылья обтягивают корпус.",10,core
skorb.volley.ribs.02,skorb,volley,gear,core,"Горло раздувается — кожа натягивается и блестит.",10,core
skorb.volley.ribs.03,skorb,volley,gear,core,"Он пробует клешню на сжатие, будто проверяет хват.",10,core
skorb.volley.scrape.01,skorb,volley,sound,core,"Короткий сип, и снова тихо.",10,core
skorb.volley.scrape.02,skorb,volley,sound,core,"Ракушки на его шкуре дребезжат, как сухая трава на ветру.",10,core
skorb.volley.scrape.03,skorb,volley,sound,core,"Он шипит — коротко и зло, на выдохе.",10,core
skorb.grasp.jaw.01,skorb,grasp,gear,core,"Он подбирает крылья — плотно, как перед броском камня.",10,core
skorb.grasp.jaw.02,skorb,grasp,gear,core,"Размах исчезает: крылья обтягивают корпус.",10,core
skorb.grasp.jaw.03,skorb,grasp,gear,core,"Горло раздувается — кожа натягивается и блестит.",10,core
skorb.grasp.pose.01,skorb,grasp,pose,core,"Присед идёт на передние лапы, задние поджаты.",10,core
skorb.grasp.pose.02,skorb,grasp,pose,core,"Корпус опускается — ровно, как перед падением.",10,core
skorb.grasp.pose.03,skorb,grasp,pose,core,"Он опускает голову к самой земле и выставляет клюв вперёд.",10,core
skorb.roar.sternum.01,skorb,roar,gear,core,"Он пробует клешню на сжатие, будто проверяет хват.",10,core
skorb.roar.sternum.02,skorb,roar,gear,core,"Клешня подбирается и застывает в полуоткрытом замке.",10,core
skorb.roar.sternum.03,skorb,roar,gear,core,"Створки клешни сходятся и расходятся — зверь примеряется.",10,core
skorb.roar.sound.01,skorb,roar,sound,core,"Нарастающий вой заполняет всё вокруг.",10,core
skorb.roar.sound.02,skorb,roar,sound,core,"Звук идёт по камню и отдаётся в зубах.",10,core
skorb.roar.sound.03,skorb,roar,sound,core,"Он сипит без нажима — воздух выходит сам.",10,core
skorb.rebuild.bones.01,skorb,rebuild,gear,core,"Он отплёвывается и переводит дыхание, опустив клешню.",10,core
skorb.rebuild.bones.02,skorb,rebuild,gear,core,"Он подбирает крылья — плотно, как перед броском камня.",10,core
skorb.rebuild.bones.03,skorb,rebuild,gear,core,"Размах исчезает: крылья обтягивают корпус.",10,core
skorb.rebuild.whirl.01,skorb,rebuild,environment,core,"Пыль и костяная крошка идут по кругу.",10,core
